0,1
64629,1370
62237,36173
39945,8050
83738,19749
74748,59359
15688,90771
86695,26713
84991,71655
39979,25837
46335,74625
63899,92621
22467,21426
33420,97972
66718,92654
75599,97516
9132,61472
65928,18542
26418,28895
33297,3576
21674,49591
11676,64143
68643,11471
96027,43395
68091,37345
30473,19506
55272,56377
65039,5323
43694,6906
97583,44267
94327,39806
80741,5009
58616,45382
51627,57965
25928,91503
29,93568
86957,93551
62330,84749
56323,20495
73931,9551
41920,47322
73679,87931
13525,44378
17051,27989
14290,8493
59557,54810
19170,37984
31911,74481
62700,30080
53574,70543
40712,59388
67509,60628
65438,88534
55191,2295
92492,14652
18086,21223
12010,14808
92181,31010
9980,58295
48911,87411
57013,67445
74075,943
7206,80734
27202,50769
51065,31973
78058,16803
37206,8660
23406,57888
94886,26214
32747,57302
48797,44873
13991,25484
87485,77831
99264,49101
34283,26837
26254,16448
64070,51674
78139,41400
72498,52937
38935,19770
12741,91763
53343,44743
8835,81191
22596,19874
99642,6830
96334,19246
20592,36799
42308,42540
47844,84281
65633,88449
91645,95919
87316,55400
55995,51694
20334,56536
39092,82021
38760,31129
18593,42034
45892,90483
67986,36031
64133,87021
36981,45408
59541,32851
26296,30444
44495,22102
12396,19951
56795,8817
99209,22732
35052,12011
67314,82059
32576,20771
92908,36409
25114,40875
55448,57001
84090,54456
90353,11845
58675,77232
34016,48864
56197,97261
58393,11003
75218,9566
78917,81846
25850,83249
72958,84275
52945,14532
25683,47603
78381,86981
30038,11713
84028,72278
56903,95558
81333,84906
71383,92375
2087,93657
37884,95347
59366,97666
9426,15
94504,74860
47907,23411
43492,26972
37336,8534
57136,39000
95927,78076
71348,8068
29788,49275
28626,16455
80531,92282
48805,10469
57615,31881
1227,60246
90427,33964
67787,5088
87648,72775
77665,68326
15537,84930
88126,87781
83407,41062
35092,315
20483,38528
84725,57003
51656,1522
78233,20151
70408,84667
85874,623
78017,91940
65777,59653
91335,81124
89958,14568
62783,14265
37721,32422
45630,74747
49111,66328
58613,76241
91961,31672
80159,72508
69544,45971
95262,34738
48828,35206
17589,76345
43580,44980
12279,83193
44858,19310
57423,30822
98272,16196
53382,65746
68580,29955
27697,24873
88767,96889
33442,74426
51839,83001
18980,11296
65486,80962
24360,45714
51357,24993
15368,36487
41675,62713
45947,3022
73428,96013
61952,94914
27657,92683
65132,62999
77742,83428
79352,36248
9648,65535
40642,61664
22180,90674
70864,19614
31201,40540
37658,56629
72523,37504
79386,96144
17419,24231
86629,30638
9170,13545
44755,4245
51356,33709
91734,31871
43255,69646
72369,21242
93169,11835
89148,36334
6379,23621
19902,52572
37178,31704
8181,18237
57384,57216
44917,59655
79559,80160
75507,79716
39477,39259
40973,3037
5893,35817
55003,43866
48082,68982
12752,44188
75977,36968
1991,81317
44140,50465
19005,72418
48976,79678
77392,31987
61185,75811
69277,8253
39761,15340
24711,32014
23530,40118
16221,2001
96086,53833
84925,11776
74626,73792
4777,65598
63317,14384
16528,13115
38452,19088
93320,65458
60789,49250
33095,82642
38103,50181
77948,96843
41325,44900
30799,18627
91308,34710
59764,73581
40934,47583
34904,14191
95305,4438
97258,90005
26182,43716
34804,35307
7125,83968
34314,5153
64503,36707
18370,20488
43800,13603
49600,75092
87142,82434
19927,2259
20486,26730
80416,9111
53612,59139
50048,69957
66091,42769
18340,91940
24864,47047
75151,15639
2563,58567
45329,12345
53380,79412
57852,46384
59975,62642
84480,89907
46686,57823
20886,39023
18795,9895
39947,39334
21342,15450
40217,84365
87437,42318
40711,10800
77227,57140
33956,73798
31789,83596
32782,34133
59570,9979
97606,47599
71838,64125
85455,44717
13075,410
94006,23754
47374,78961
8714,25097
30873,15007
23054,30020
59636,97307
47266,10910
17474,77374
77743,33666
35775,54243
38688,37347
68870,38265
56887,30178
43915,1850
99414,26836
73008,12705
